Filepath_Deg;Filename;db;MOS;Condition;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;ssimProcess;psnrProcess;brisqueProcess;refFile;ssim;psnr;brisque
.\Deg\p06_jp2444_0.750000_dec.bmp;p06_jp2444_0.750000_dec.bmp;JPEGCoreExperiment;85.84615385;9;100;100;72;100;88;79;87;69;90;77;87;100;97;79;69;78;1;1;1;.\Original\p06_orig.bmp;0.951221856;37.45829865;116.154
.\Deg\p06_jp2444_1.000000_dec.bmp;p06_jp2444_1.000000_dec.bmp;JPEGCoreExperiment;87.92307692;10;70;70;73;100;81;100;96;72;95;82;87;100;100;100;100;77;1;1;1;.\Original\p06_orig.bmp;0.962838666;39.20144568;115.912
.\Deg\p06_jp2444_1.250000_dec.bmp;p06_jp2444_1.250000_dec.bmp;JPEGCoreExperiment;88.69230769;11;95;100;71;100;100;59;84;71;70;79;86;100;82;100;95;100;1;1;1;.\Original\p06_orig.bmp;0.96918678;40.42471493;115.804
.\Deg\p06_jp2444_1.500000_dec.bmp;p06_jp2444_1.500000_dec.bmp;JPEGCoreExperiment;95.15384615;12;70;100;100;100;94;100;93;100;100;96;80;100;89;100;100;84;1;1;1;.\Original\p06_orig.bmp;0.973749053;41.49411268;115.824
.\Deg\p06_jpg420_0.250000_dec.bmp;p06_jpg420_0.250000_dec.bmp;JPEGCoreExperiment;12.53846154;13;20;9;30;11;23;3;4;13;15;5;27;45;5;8;0;7;1;1;1;.\Original\p06_orig.bmp;0.773015456;28.19877381;116.072
.\Deg\p06_jpg420_0.500000_dec.bmp;p06_jpg420_0.500000_dec.bmp;JPEGCoreExperiment;41;14;50;29;49;69;41;32;35;47;55;21;42;64;73;38;0;52;1;1;1;.\Original\p06_orig.bmp;0.912694112;33.55641033;116.226
.\Deg\p06_jpg420_0.750000_dec.bmp;p06_jpg420_0.750000_dec.bmp;JPEGCoreExperiment;75.15384615;15;70;72;75;100;61;68;90;76;90;76;65;84;80;57;68;65;1;1;1;.\Original\p06_orig.bmp;0.941814634;36.12018671;116.101
.\Deg\p06_jpg420_1.000000_dec.bmp;p06_jpg420_1.000000_dec.bmp;JPEGCoreExperiment;84.84615385;16;95;100;70;74;57;100;88;76;87;61;89;88;83;100;94;83;1;1;1;.\Original\p06_orig.bmp;0.956266539;37.87300865;115.855
.\Deg\p06_jpg420_1.250000_dec.bmp;p06_jpg420_1.250000_dec.bmp;JPEGCoreExperiment;85.84615385;17;92;73;73;100;71;83;93;72;90;85;78;75;96;100;100;82;1;1;1;.\Original\p06_orig.bmp;0.965755767;39.32147;115.877
.\Deg\p06_jpg420_1.500000_dec.bmp;p06_jpg420_1.500000_dec.bmp;JPEGCoreExperiment;95.07692308;18;95;100;100;100;87;81;94;100;97;82;100;100;95;100;100;100;1;1;1;.\Original\p06_orig.bmp;0.972829608;40.68448714;115.885
.\Deg\p06_xrMS420_0.250000_dec.bmp;p06_xrMS420_0.250000_dec.bmp;JPEGCoreExperiment;34.92307692;19;50;30;49;69;19;51;27;29;25;18;41;56;59;30;36;14;1;1;1;.\Original\p06_orig.bmp;0.874501569;29.8245991;116.708
.\Deg\p06_xrMS420_0.500000_dec.bmp;p06_xrMS420_0.500000_dec.bmp;JPEGCoreExperiment;66.53846154;20;70;50;70;75;77;77;60;76;70;57;76;87;63;65;45;56;1;1;1;.\Original\p06_orig.bmp;0.932902426;33.97167342;116.141
.\Deg\p06_xrMS420_0.750000_dec.bmp;p06_xrMS420_0.750000_dec.bmp;JPEGCoreExperiment;74.53846154;21;60;70;100;100;51;100;71;71;48;62;100;100;78;75;91;70;1;1;1;.\Original\p06_orig.bmp;0.953398893;36.25496151;115.892
.\Deg\p06_xrMS420_1.000000_dec.bmp;p06_xrMS420_1.000000_dec.bmp;JPEGCoreExperiment;81.61538462;22;70;100;70;73;82;56;89;74;72;79;100;100;100;66;100;100;1;1;1;.\Original\p06_orig.bmp;0.967204603;38.25306662;115.694
.\Deg\p06_xrMS420_1.250000_dec.bmp;p06_xrMS420_1.250000_dec.bmp;JPEGCoreExperiment;88.53846154;23;49;100;100;100;100;100;97;72;85;78;83;89;85;100;98;83;1;1;1;.\Original\p06_orig.bmp;0.97575541;39.79424764;115.789
.\Deg\p06_xrMS420_1.500000_dec.bmp;p06_xrMS420_1.500000_dec.bmp;JPEGCoreExperiment;87.92307692;24;95;59;100;100;74;76;96;76;90;80;83;97;78;100;100;100;1;1;1;.\Original\p06_orig.bmp;0.981067592;41.26389728;115.775
.\Deg\p06_xrPS420_0.25.bmp;p06_xrPS420_0.25.bmp;JPEGCoreExperiment;23.53846154;25;30;11;32;32;56;16;25;25;6;15;30;30;49;17;17;26;1;1;1;.\Original\p06_orig.bmp;0.888191847;31.58350207;116.697
.\Deg\p06_xrPS420_0.5.bmp;p06_xrPS420_0.5.bmp;JPEGCoreExperiment;63.46153846;26;68;100;72;66;67;62;66;69;50;34;62;77;74;56;69;41;1;1;1;.\Original\p06_orig.bmp;0.932638087;34.95167501;116.196
.\Deg\p06_xrPS420_0.75.bmp;p06_xrPS420_0.75.bmp;JPEGCoreExperiment;77.69230769;27;95;52;70;100;73;70;63;72;86;76;77;100;65;78;84;61;1;1;1;.\Original\p06_orig.bmp;0.952124936;37.23743488;115.871
.\Deg\p06_xrPS420_1.0.bmp;p06_xrPS420_1.0.bmp;JPEGCoreExperiment;83.61538462;28;70;100;100;100;69;98;81;69;98;76;78;82;92;76;100;68;1;1;1;.\Original\p06_orig.bmp;0.964576202;39.33952772;115.881
.\Deg\p06_xrPS420_1.25.bmp;p06_xrPS420_1.25.bmp;JPEGCoreExperiment;84.23076923;29;95;100;100;74;76;71;98;70;72;77;100;91;94;74;97;100;1;1;1;.\Original\p06_orig.bmp;0.9718112;40.76094077;115.793
.\Deg\p06_xrPS420_1.5.bmp;p06_xrPS420_1.5.bmp;JPEGCoreExperiment;85.46153846;30;70;74;100;100;67;100;79;71;90;63;100;100;88;100;100;97;1;1;1;.\Original\p06_orig.bmp;0.977542938;42.02131105;115.691
.\Original\p10_orig.bmp;p10.bmp;JPEGCoreExperiment;97.69230769;original;100;70;100;100;100;100;100;100;100;100;100;100;100;100;100;100;1;0;1;.\Original\p10_orig.bmp;1;0;103.985
.\Deg\p10_jp2420_0.250000_dec.bmp;p10_jp2420_0.250000_dec.bmp;JPEGCoreExperiment;31.69230769;1;50;9;49;38;55;13;15;45;40;36;39;43;68;38;14;16;1;1;1;.\Original\p10_orig.bmp;0.902103634;32.08721744;106.526
.\Deg\p10_jp2420_0.500000_dec.bmp;p10_jp2420_0.500000_dec.bmp;JPEGCoreExperiment;67.53846154;2;100;43;70;68;62;43;50;65;70;72;79;100;68;75;76;54;1;1;1;.\Original\p10_orig.bmp;0.951676817;36.47427273;104.777
.\Deg\p10_jp2420_0.750000_dec.bmp;p10_jp2420_0.750000_dec.bmp;JPEGCoreExperiment;87.07692308;3;100;54;71;100;100;74;70;76;99;99;83;100;100;78;100;82;1;1;1;.\Original\p10_orig.bmp;0.968764673;39.35027983;104.355
.\Deg\p10_jp2420_1.000000_dec.bmp;p10_jp2420_1.000000_dec.bmp;JPEGCoreExperiment;88.84615385;4;91;71;100;100;100;79;90;100;96;65;100;78;100;100;100;85;1;1;1;.\Original\p10_orig.bmp;0.978828529;41.51817896;104.015
.\Deg\p10_jp2420_1.250000_dec.bmp;p10_jp2420_1.250000_dec.bmp;JPEGCoreExperiment;92.53846154;5;100;63;100;100;100;68;85;100;100;96;97;100;100;100;94;97;1;1;1;.\Original\p10_orig.bmp;0.983015707;43.04860324;104.085
.\Deg\p10_jp2420_1.500000_dec.bmp;p10_jp2420_1.500000_dec.bmp;JPEGCoreExperiment;93.15384615;6;100;64;100;100;88;100;100;100;100;98;99;100;82;76;100;85;1;1;1;.\Original\p10_orig.bmp;0.986331487;44.27563632;103.994
.\Deg\p10_jp2444_0.250000_dec.bmp;p10_jp2444_0.250000_dec.bmp;JPEGCoreExperiment;33.07692308;7;47;12;29;43;29;4;37;49;50;19;51;33;66;44;30;33;1;1;1;.\Original\p10_orig.bmp;0.900712666;31.15193796;106.535
.\Deg\p10_jp2444_0.500000_dec.bmp;p10_jp2444_0.500000_dec.bmp;JPEGCoreExperiment;73.07692308;8;100;50;69;55;71;62;77;71;100;65;75;84;100;76;60;79;1;1;1;.\Original\p10_orig.bmp;0.948932187;34.29821714;106.321
.\Deg\p10_jp2444_0.750000_dec.bmp;p10_jp2444_0.750000_dec.bmp;JPEGCoreExperiment;87.30769231;9;100;54;69;100;100;47;86;75;95;100;83;100;91;78;100;100;1;1;1;.\Original\p10_orig.bmp;0.964209951;36.81081412;105.572
.\Deg\p10_jp2444_1.000000_dec.bmp;p10_jp2444_1.000000_dec.bmp;JPEGCoreExperiment;88.53846154;10;100;100;100;100;60;83;87;100;70;76;100;75;82;100;100;100;1;1;1;.\Original\p10_orig.bmp;0.975567738;39.42500129;104.618
.\Deg\p10_jp2444_1.250000_dec.bmp;p10_jp2444_1.250000_dec.bmp;JPEGCoreExperiment;90.53846154;11;95;100;71;64;100;63;99;75;100;81;100;100;96;100;100;100;1;1;1;.\Original\p10_orig.bmp;0.980483389;40.73983185;104.529
.\Deg\p10_jp2444_1.500000_dec.bmp;p10_jp2444_1.500000_dec.bmp;JPEGCoreExperiment;89.46153846;12;100;71;100;79;55;68;100;100;90;100;100;100;100;100;100;100;1;1;1;.\Original\p10_orig.bmp;0.984715853;42.3953744;104.304
.\Deg\p10_jpg420_0.250000_dec.bmp;p10_jpg420_0.250000_dec.bmp;JPEGCoreExperiment;6.461538462;13;11;8;30;9;1;5;3;8;5;5;16;16;5;10;0;3;1;1;1;.\Original\p10_orig.bmp;0.793713888;26.46459369;104.286
.\Deg\p10_jpg420_0.500000_dec.bmp;p10_jpg420_0.500000_dec.bmp;JPEGCoreExperiment;32.07692308;14;30;14;49;65;29;28;15;36;30;20;37;56;69;33;25;36;1;1;1;.\Original\p10_orig.bmp;0.92116068;33.26204146;103.436
.\Deg\p10_jpg420_0.750000_dec.bmp;p10_jpg420_0.750000_dec.bmp;JPEGCoreExperiment;72.76923077;15;100;30;100;100;54;85;67;74;92;77;66;84;100;53;72;58;1;1;1;.\Original\p10_orig.bmp;0.954526824;36.48968243;103.637
.\Deg\p10_jpg420_1.000000_dec.bmp;p10_jpg420_1.000000_dec.bmp;JPEGCoreExperiment;82.92307692;16;70;69;100;100;80;66;79;75;99;78;84;100;76;79;100;83;1;1;1;.\Original\p10_orig.bmp;0.968336029;38.52085214;103.827
.\Deg\p10_jpg420_1.250000_dec.bmp;p10_jpg420_1.250000_dec.bmp;JPEGCoreExperiment;93.53846154;17;100;100;100;81;81;100;83;100;100;95;86;90;100;100;100;86;1;1;1;.\Original\p10_orig.bmp;0.97659869;40.16678791;103.608
.\Deg\p10_jpg420_1.500000_dec.bmp;p10_jpg420_1.500000_dec.bmp;JPEGCoreExperiment;88.23076923;18;100;59;100;100;68;65;98;75;100;82;98;100;91;100;100;100;1;1;1;.\Original\p10_orig.bmp;0.981390099;41.37078611;103.729
.\Deg\p10_xrMS420_0.250000_dec.bmp;p10_xrMS420_0.250000_dec.bmp;JPEGCoreExperiment;20.30769231;19;32;12;47;14;20;13;12;27;5;10;47;54;68;29;7;29;1;1;1;.\Original\p10_orig.bmp;0.877123607;29.14835073;106.312
.\Deg\p10_xrMS420_0.500000_dec.bmp;p10_xrMS420_0.500000_dec.bmp;JPEGCoreExperiment;60.61538462;20;95;34;71;100;72;41;48;71;73;21;60;52;87;76;43;62;1;1;1;.\Original\p10_orig.bmp;0.947150781;34.26685773;104.789
.\Deg\p10_xrMS420_0.750000_dec.bmp;p10_xrMS420_0.750000_dec.bmp;JPEGCoreExperiment;79.84615385;21;100;54;76;71;57;76;82;77;95;77;84;72;82;77;100;100;1;1;1;.\Original\p10_orig.bmp;0.967209876;37.18689252;104.419
.\Deg\p10_xrMS420_1.000000_dec.bmp;p10_xrMS420_1.000000_dec.bmp;JPEGCoreExperiment;89.92307692;22;100;69;100;100;91;94;84;78;100;98;100;100;100;67;100;88;1;1;1;.\Original\p10_orig.bmp;0.977296328;39.38671453;104.347
.\Deg\p10_xrMS420_1.250000_dec.bmp;p10_xrMS420_1.250000_dec.bmp;JPEGCoreExperiment;88.76923077;23;100;64;100;51;87;100;100;100;98;77;100;100;100;100;87;90;1;1;1;.\Original\p10_orig.bmp;0.982624038;40.94570036;104.289
.\Deg\p10_xrMS420_1.500000_dec.bmp;p10_xrMS420_1.500000_dec.bmp;JPEGCoreExperiment;96.92307692;24;100;100;100;76;100;85;100;100;100;99;100;100;100;100;100;100;1;1;1;.\Original\p10_orig.bmp;0.986978836;42.55216097;104.124
.\Deg\p10_xrPS420_0.25.bmp;p10_xrPS420_0.25.bmp;JPEGCoreExperiment;28.76923077;25;30;9;52;48;85;1;34;12;5;19;25;47;75;33;28;23;1;1;1;.\Original\p10_orig.bmp;0.890907346;30.30098645;105.119
.\Deg\p10_xrPS420_0.5.bmp;p10_xrPS420_0.5.bmp;JPEGCoreExperiment;60.07692308;26;92;36;71;52;52;37;62;51;68;58;69;77;81;57;80;59;1;1;1;.\Original\p10_orig.bmp;0.94894369;35.14427251;104.736
.\Deg\p10_xrPS420_0.75.bmp;p10_xrPS420_0.75.bmp;JPEGCoreExperiment;73.84615385;27;70;41;71;100;75;65;67;67;98;77;78;56;77;79;85;80;1;1;1;.\Original\p10_orig.bmp;0.967918926;37.86615148;104.266
.\Deg\p10_xrPS420_1.0.bmp;p10_xrPS420_1.0.bmp;JPEGCoreExperiment;88.76923077;28;100;57;100;74;79;92;95;100;91;77;78;100;87;100;89;100;1;1;1;.\Original\p10_orig.bmp;0.977174582;39.84377205;104.266
.\Deg\p10_xrPS420_1.25.bmp;p10_xrPS420_1.25.bmp;JPEGCoreExperiment;95.38461538;29;95;100;100;100;100;49;100;100;100;100;100;96;100;100;100;100;1;1;1;.\Original\p10_orig.bmp;0.982263919;41.49172809;104.157
.\Deg\p10_xrPS420_1.5.bmp;p10_xrPS420_1.5.bmp;JPEGCoreExperiment;96.30769231;30;100;70;100;100;100;82;100;100;100;100;97;100;100;100;100;100;1;1;1;.\Original\p10_orig.bmp;0.986442889;43.14544546;104.159
.\Original\woman_orig.bmp;woman.bmp;JPEGCoreExperiment;98.30769231;original;100;100;100;100;100;82;100;100;96;100;100;100;100;100;100;100;1;0;1;.\Original\woman_orig.bmp;1;0;108.952
.\Deg\woman_jp2420_0.250000_dec.bmp;woman_jp2420_0.250000_dec.bmp;JPEGCoreExperiment;25.46153846;1;30;33;34;15;58;40;5;12;10;32;37;44;55;17;10;25;1;1;1;.\Original\woman_orig.bmp;0.777826915;28.60346402;114.164
.\Deg\woman_jp2420_0.500000_dec.bmp;woman_jp2420_0.500000_dec.bmp;JPEGCoreExperiment;36.30769231;2;30;51;50;34;27;23;18;53;23;55;51;40;48;42;31;45;1;1;1;.\Original\woman_orig.bmp;0.85038775;31.85999485;111.518
.\Deg\woman_jp2420_0.750000_dec.bmp;woman_jp2420_0.750000_dec.bmp;JPEGCoreExperiment;53.30769231;3;50;29;67;50;75;51;46;52;70;56;71;72;72;49;41;52;1;1;1;.\Original\woman_orig.bmp;0.891258613;34.2845896;110.408
.\Deg\woman_jp2420_1.000000_dec.bmp;woman_jp2420_1.000000_dec.bmp;JPEGCoreExperiment;68.76923077;4;95;60;70;73;75;55;66;67;41;77;81;70;74;78;75;62;1;1;1;.\Original\woman_orig.bmp;0.922283778;36.44317943;110.198
.\Deg\woman_jp2420_1.250000_dec.bmp;woman_jp2420_1.250000_dec.bmp;JPEGCoreExperiment;82.84615385;5;70;100;68;73;90;71;92;78;80;74;85;87;78;88;100;74;1;1;1;.\Original\woman_orig.bmp;0.937181301;38.07200202;109.95
.\Deg\woman_jp2420_1.500000_dec.bmp;woman_jp2420_1.500000_dec.bmp;JPEGCoreExperiment;89.61538462;6;95;84;100;100;100;100;84;73;75;98;100;100;90;79;94;83;1;1;1;.\Original\woman_orig.bmp;0.952416481;39.67244804;109.556
.\Deg\woman_jp2444_0.250000_dec.bmp;woman_jp2444_0.250000_dec.bmp;JPEGCoreExperiment;34.30769231;7;30;42;46;32;51;22;8;17;30;29;43;71;71;30;48;36;1;1;1;.\Original\woman_orig.bmp;0.782387503;27.38414516;114.208
.\Deg\woman_jp2444_0.500000_dec.bmp;woman_jp2444_0.500000_dec.bmp;JPEGCoreExperiment;59.84615385;8;63;48;68;73;85;38;58;66;55;63;77;70;58;69;28;62;1;1;1;.\Original\woman_orig.bmp;0.852764026;29.93087949;113.368
.\Deg\woman_jp2444_0.750000_dec.bmp;woman_jp2444_0.750000_dec.bmp;JPEGCoreExperiment;87.53846154;9;100;70;71;100;92;100;98;68;80;91;75;100;100;90;83;66;1;1;1;.\Original\woman_orig.bmp;0.893221753;32.16789929;111.399
.\Deg\woman_jp2444_1.000000_dec.bmp;woman_jp2444_1.000000_dec.bmp;JPEGCoreExperiment;85.23076923;10;95;69;71;100;84;89;79;74;95;97;83;87;87;78;84;77;1;1;1;.\Original\woman_orig.bmp;0.916169032;34.0631121;110.534
.\Deg\woman_jp2444_1.250000_dec.bmp;woman_jp2444_1.250000_dec.bmp;JPEGCoreExperiment;94.15384615;11;100;100;100;100;87;100;92;77;90;97;83;100;100;100;98;83;1;1;1;.\Original\woman_orig.bmp;0.93408182;35.20568132;110.089
.\Deg\woman_jp2444_1.500000_dec.bmp;woman_jp2444_1.500000_dec.bmp;JPEGCoreExperiment;92.46153846;12;100;100;100;78;100;100;100;76;70;98;97;100;100;100;97;83;1;1;1;.\Original\woman_orig.bmp;0.94630461;36.45275091;109.558
.\Deg\woman_jpg420_0.250000_dec.bmp;woman_jpg420_0.250000_dec.bmp;JPEGCoreExperiment;6;13;10;9;12;10;2;2;1;10;2;1;5;25;6;5;0;1;1;1;1;.\Original\woman_orig.bmp;0.698670385;25.50068912;113.093
.\Deg\woman_jpg420_0.500000_dec.bmp;woman_jpg420_0.500000_dec.bmp;JPEGCoreExperiment;36.92307692;14;70;30;48;71;50;39;14;29;17;16;41;60;78;29;16;39;1;1;1;.\Original\woman_orig.bmp;0.826573327;28.81101885;110.566
.\Deg\woman_jpg420_0.750000_dec.bmp;woman_jpg420_0.750000_dec.bmp;JPEGCoreExperiment;79.61538462;15;95;48;72;100;73;100;100;60;75;99;86;83;95;50;89;63;1;1;1;.\Original\woman_orig.bmp;0.880375106;30.992154;109.728
.\Deg\woman_jpg420_1.000000_dec.bmp;woman_jpg420_1.000000_dec.bmp;JPEGCoreExperiment;94.23076923;16;100;100;100;100;100;77;100;76;96;97;84;100;71;95;91;93;1;1;1;.\Original\woman_orig.bmp;0.908451945;32.62939665;109.088
.\Deg\woman_jpg420_1.250000_dec.bmp;woman_jpg420_1.250000_dec.bmp;JPEGCoreExperiment;90.15384615;17;95;85;100;95;100;69;100;73;75;100;98;100;96;100;100;80;1;1;1;.\Original\woman_orig.bmp;0.928238326;34.12898209;108.987
.\Deg\woman_jpg420_1.500000_dec.bmp;woman_jpg420_1.500000_dec.bmp;JPEGCoreExperiment;95.15384615;18;100;100;100;100;100;79;100;77;89;100;90;100;100;96;100;96;1;1;1;.\Original\woman_orig.bmp;0.941586828;35.45869065;108.881
.\Deg\woman_xrMS420_0.250000_dec.bmp;woman_xrMS420_0.250000_dec.bmp;JPEGCoreExperiment;30.15384615;19;29;12;47;42;50;15;8;30;30;38;30;51;47;29;34;24;1;1;1;.\Original\woman_orig.bmp;0.756946737;25.7214938;113.676
.\Deg\woman_xrMS420_0.500000_dec.bmp;woman_xrMS420_0.500000_dec.bmp;JPEGCoreExperiment;69.84615385;20;48;51;71;99;73;100;89;69;70;63;58;82;58;64;43;57;1;1;1;.\Original\woman_orig.bmp;0.856585125;28.81547554;110.592
.\Deg\woman_xrMS420_0.750000_dec.bmp;woman_xrMS420_0.750000_dec.bmp;JPEGCoreExperiment;79.30769231;21;95;82;100;100;81;100;70;71;70;61;76;100;87;79;60;62;1;1;1;.\Original\woman_orig.bmp;0.905244542;31.2613952;110.278
.\Deg\woman_xrMS420_1.000000_dec.bmp;woman_xrMS420_1.000000_dec.bmp;JPEGCoreExperiment;93.61538462;22;100;100;100;100;65;100;100;77;92;83;85;100;80;100;100;100;1;1;1;.\Original\woman_orig.bmp;0.929563376;32.93178416;109.954
.\Deg\woman_xrMS420_1.250000_dec.bmp;woman_xrMS420_1.250000_dec.bmp;JPEGCoreExperiment;91.15384615;23;100;71;100;100;86;100;80;73;100;100;98;100;89;100;100;75;1;1;1;.\Original\woman_orig.bmp;0.946367311;34.42951558;109.671
.\Deg\woman_xrMS420_1.500000_dec.bmp;woman_xrMS420_1.500000_dec.bmp;JPEGCoreExperiment;98.30769231;24;100;100;100;100;91;92;100;100;100;99;100;100;100;100;100;96;1;1;1;.\Original\woman_orig.bmp;0.95821244;35.68404175;109.611
.\Deg\woman_xrPS420_0.25.bmp;woman_xrPS420_0.25.bmp;JPEGCoreExperiment;14.30769231;25;30;10;30;21;13;24;5;12;2;2;17;55;42;12;0;0;1;1;1;.\Original\woman_orig.bmp;0.770126172;27.27927926;112.118
.\Deg\woman_xrPS420_0.5.bmp;woman_xrPS420_0.5.bmp;JPEGCoreExperiment;43.07692308;26;45;51;52;46;54;39;36;51;23;28;64;54;59;42;55;36;1;1;1;.\Original\woman_orig.bmp;0.851552693;29.98773214;110.924
.\Deg\woman_xrPS420_0.75.bmp;woman_xrPS420_0.75.bmp;JPEGCoreExperiment;78.15384615;27;70;100;68;53;100;100;96;78;50;71;79;100;100;73;47;78;1;1;1;.\Original\woman_orig.bmp;0.889942046;31.789757;110.514
.\Deg\woman_xrPS420_1.0.bmp;woman_xrPS420_1.0.bmp;JPEGCoreExperiment;82.30769231;28;95;72;74;100;82;77;88;73;57;99;77;100;88;68;84;75;1;1;1;.\Original\woman_orig.bmp;0.916508887;33.3353065;110.182
.\Deg\woman_xrPS420_1.25.bmp;woman_xrPS420_1.25.bmp;JPEGCoreExperiment;86.69230769;29;100;100;100;100;62;73;71;74;94;91;96;100;100;90;92;80;1;1;1;.\Original\woman_orig.bmp;0.934758944;35.20052944;110.075
.\Deg\woman_xrPS420_1.5.bmp;woman_xrPS420_1.5.bmp;JPEGCoreExperiment;88.61538462;30;100;83;100;100;85;94;100;100;50;80;97;100;100;78;100;82;1;1;1;.\Original\woman_orig.bmp;0.94541852;36.33179137;109.794
